Movie Spanish,Movie Name real,mi_info,Year,Runtime,Genre,Rating,Director,Language,Country,sinopsis,plataformas,links_plataformas
la canción pérdida,Canción perdida en la nieve,Anime,2015,72,,0.0,Francisco D'Eufemia,es,,,,
La casa de jack,La chica de al lado,,2007,91,"Suspense, Crimen, Drama, Terror",6.653,Gregory Wilson,en,United States of America,"Basada en una historia real sucedida en el año 1958. Sylvia Likens fue brutalmente torturada, violada y asesinada en el sótano de un hogar familiar del estado de Indiana.",,
La casa de las dagas voladoras,La casa de las dagas voladoras,mamá,2004,114,"Aventura, Drama, Acción",7.265,Zhang Yimou,zh,"China, Hong Kong","Corre el año 859 a.C. y la dinastía Tang, una vez floreciente, ha entrado en decadencia. El malestar se extiende por todo el país, y el corrupto gobierno tiene que enfrentarse en todas partes con ejércitos rebeldes. El más poderoso es el de la ""Casa de las Dagas Voladoras"", que se está haciendo cada vez más fuerte gracias a un nuevo y misterioso líder. Dos capitanes, Leo y Jin, reciben la orden de capturarlo y para ello elaboran un minucioso plan. El capitán Jin finge ser un guerrero solitario llamado Viento y saca de prisión a la revolucionaria ciega Mei, que lo llevará hasta el cuartel general de la Casa de las Dagas Voladoras, pero durante el viaje, Jin y Mei se enamoran profundamente.",,
La cena de los idiotas,La cena de los idiotas,,2010,114,Comedia,5.72,Jay Roach,en,United States of America,"Trata de las peripecias de un grupo de amigos que se reúne semanalmente para cenar. La originalidad de su plan reside en que cada uno debe llevar a la cena al tipo más idiota que haya sido capaz de encontrar y el que lo consiga, será el ganador de la noche... Remake del popular film francés de Francis Veber de 1998.",,https://www.themoviedb.org/movie/38778-dinner-for-schmucks/watch?locale=ES
La delgada línea roja,La delgada línea roja,46,1998,170,"Drama, Historia, Bélica",7.4,Terrence Malick,en,United States of America,"Segunda Guerra Mundial, isla de Guadalcanal, 1942. Un grupo de hombres pertenecientes a la compañía de fusileros del ejército 'C de Charlie' combate contra el ejército japonés por la conquista de una estratégica colina. Allí, los hombres sufren grandes cambios, padecen y, en última instancia, descubren aspectos fundamentales de sí mismos. Los soldados forman parte del envío de nuevas unidades del ejército para proceder al relevo de las unidades de infantería de marina agotadas por el combate.",Disney Plus,https://www.themoviedb.org/movie/8741-the-thin-red-line/watch?locale=ES
La dolce vita,La dolce vita,86,1960,174,"Comedia, Drama",8.034,Federico Fellini,it,"France, Italy","Marcello Rubini es un desencantado periodista romano, en busca de celebridades, que se mueve con insatisfacción por las fiestas nocturnas que celebra la burguesía de la época. Merodea por distintos lugares de Roma, siempre rodeado de todo tipo de personajes, especialmente de la élite de la sociedad italiana. En una de sus salidas se entera de que Sylvia, una célebre diva del mundo del cine, llega a Roma, cree que ésta es una gran oportunidad para conseguir una gran noticia, y, en consecuencia, la perseguirá por las noches por diferentes lugares de la ciudad.","Movistar Plus+ Ficción Total , FlixOlé, FlixOlé Amazon Channel",https://www.themoviedb.org/movie/439-la-dolce-vita/watch?locale=ES
La enmienda,La enmienda,,2020,1,Misterio,0.0,Ricardo Peña,xx,,,,
La evasión ,La evasión,carcel,1960,132,"Drama, Suspense, Crimen",8.257,Jacques Becker,fr,"France, Italy","Francia, 1947. Gaspard Claude ha sido acusado del intento de asesinato de su mujer, pero es inocente. Una vez en la cárcel, comparte celda con cuatro duros criminales que han decidido escapar de la prisión construyendo un laborioso túnel. A duras penas, convencen al joven para que se una al plan de fuga y participe en la construcción del túnel.",,https://www.themoviedb.org/movie/29259-le-trou/watch?locale=ES
La gran belleza,La gran belleza,,2013,141,Drama,7.5,Paolo Sorrentino,it,"France, Italy","Una historia ambientada en la ciudad de Roma. Se trata de un retrato desde la mirada de Jap Gambardella, un periodista de 65 años, que regresa a la ciudad en la que nació para recuperar sus recuerdos y esencia juveniles, y con ello reflejar la brillantez, hermosura y variedad de la capital italiana.",Filmin,https://www.themoviedb.org/movie/179144-la-grande-bellezza/watch?locale=ES
La gran ilusión,La gran ilusión,carcel,1937,114,"Drama, Historia, Bélica",7.859,Jean Renoir,fr,France,"Primera Guerra Mundial (1914-1918). Una obra maestra del cine mundial sobre la camaradería y las relaciones humanas que retrata el día a día de unos prisioneros franceses en un campo de concentración alemán durante la Primera Guerra Mundial. Cuando llegan al campo dos oficiales de la aviación francesa, son informados por sus compañeros de barracón de que están excavando un túnel para poder escapar de allí.",,
La gran prueba,El gran Stan: El matón de la prisión,,2007,105,"Comedia, Crimen",6.614,Rob Schneider,en,United States of America,"Stan, un agente inmobiliario sin escrúpulos, aterrado ante el hecho de ir a la cárcel por culpa de un delito de estafa, tratará de aprender una misteriosa arte marcial gracias a un maestro que le instruirá para intimidar a los reclusos y ser así respetado dentro de la cárcel.",,https://www.themoviedb.org/movie/13161-big-stan/watch?locale=ES
La habitación del pánico,La habitación del pánico,Plano secuencia,2002,112,"Crimen, Drama, Suspense",6.792,David Fincher,en,United States of America,"La recién separada Meg Altman y su hija Sarah se mudan a una lujosa mansión en Nueva York. Pero cuando tres intrusos invaden brutalmente su hogar, las dos se encierran en ""la habitación del antipánico"", una cámara oculta construida como refugio, con cuatro muros de hormigón, línea de teléfono independiente, un conjunto de monitores que controlan todos los rincones de la casa y una impenetrable puerta de acero.",,https://www.themoviedb.org/movie/4547-panic-room/watch?locale=ES
La hija de ryan,La hija de Ryan,,1970,206,"Romance, Historia, Drama",7.078,David Lean,en,United Kingdom,"Irlanda, 1916. Cuando Charles, un maestro rural viudo, vuelve de Dublín a su aldea natal, Rosy, una muchacha muy impulsiva, se encapricha con él y no parará hasta llevarlo al altar. Pero el matrimonio fracasa: Charles es un hombre maduro y sosegado mientras que su esposa es una joven muy apasionada y romántica que acaba enamorándose de un oficial inglés con el que se ve en secreto.",,https://www.themoviedb.org/movie/38953-ryan-s-daughter/watch?locale=ES
La hoguera de las vanidades,La hoguera de las vanidades,Plano secuencia,1990,125,"Comedia, Drama",5.6,Brian De Palma,en,United States of America,"Sherman McCoy, un exitoso agente de bolsa de Wall Street, ve cómo su acomodada vida peligra cuando atropella a un hombre de raza negra y se da a la fuga en su coche de alta gama; a partir de ese momento tendrá que enfrentarse a los grandes centros de poder de la sociedad moderna de Nueva York.",,https://www.themoviedb.org/movie/9586-the-bonfire-of-the-vanities/watch?locale=ES
La huérfana,La huérfana,alba corti,2009,123,"Terror, Suspense",6.991,Jaume Collet-Serra,en,United States of America,"Cuando Kate y John Coleman pierden al bebé que estaban esperando, todo se derrumba a su alrededor. Su matrimonio se tambalea y la mente de Kate se llena de pesadillas, miedos y temores. Para intentar recuperar la normalidad, la pareja se dirige a un orfanato local con la intención de adoptar a un niño. Allí se sienten enigmáticamente atraídos por una niña de rostro angelical llamada Esther. Pero las cosas se tuercen tras la llegada de la muchacha a la casa de los Coleman, donde empiezan a ocurrir cosas extrañas. Cuando Kate empieza a darse cuenta de que Esther esconde un terrible secreto, intentará descubrir qué es, pero quizá sea demasiado tarde...",,https://www.themoviedb.org/movie/21208-orphan/watch?locale=ES
La inocencia,Monstruo,maría carbo,2023,125,"Misterio, Suspense, Drama",7.9,Hirokazu Kore-eda,ja,Japan,"Cuando su joven hijo Minato empieza a comportarse de forma extraña, su madre siente que algo va mal. Al descubrir que el responsable de todo ello es un profesor, irrumpe en la escuela exigiendo saber qué está pasando. Pero a medida que la historia se desarrolla a través de los ojos de la madre, el profesor y el niño, la verdad va saliendo a la luz, poco a poco...",,https://www.themoviedb.org/movie/1050035/watch?locale=ES
La ley del silencio,La ley del silencio,96,1954,108,"Crimen, Drama, Romance",7.863,Elia Kazan,en,United States of America,"El exboxeador Terry Malloy podría haber sido un serio aspirante al título, pero se ve obligado a ganarse la vida trabajando para Johnny Friendly, el jefe de la conflictiva banda de gánsteres de la ciudad. Cuando dos de los matones de Friendly asesinan brutalmente a un hombre, Terry comienza a sentirse culpable con la vida que lleva, iniciando una peligrosa lucha para derrocar el imperio del hampa","Netflix Standard with Ads, Netflix, Filmin",https://www.themoviedb.org/movie/654-on-the-waterfront/watch?locale=ES
La leyenda del indomable,La leyenda del indomable,carcel,1967,126,"Drama, Crimen",7.7,Stuart Rosenberg,en,United States of America,"El impulsivo Luke Jackson ha sido condenado a dos años de trabajos forzados. Su delito fue romper en plena borrachera un poste de aparcamiento. La vida en el penal es durísima: tiene que convivir con presos condenados por delitos muy graves y, además, la violencia tanto de los presos como de los carceleros se ha convertido en un hábito imposible de erradicar. Luke, es un veterano de guerra que no está dispuesto a ceder, pero tendrá que pagar un alto precio por seguir siendo quien es.","Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/903-cool-hand-luke/watch?locale=ES
La mejor juventud,La mejor juventud,,2003,366,"Drama, Historia, Romance",8.043,Marco Tullio Giordana,it,Italy,"Historia de una familia italiana desde los años 60 hasta nuestros días. Dos hermanos, Nicola (Luigi Lo Cascio) y Matteo (Alessio Boni), comparten las mismas esperanzas, los mismos sueños; disfrutan de los mismos libros y de los mismos amigos hasta que conocen a una chica desequilibrada, Giorgia (Jasmine Trinca), que perturba su destino. Mientras Nicola ejerce como psicólogo, Matteo abandona sus estudios e ingresa en el cuerpo de policía.",,
La niebla,La niebla y la doncella,thriller,2017,104,"Suspense, Crimen, Misterio",5.6,Andrés M. Koppel,es,Spain,"El sargento Rubén Bevilacqua y la cabo Virginia Chamorro son dos investigadores de la Guardia Civil que deben trabajar en un complicado y antiguo caso. Dos años antes un político local fue el principal sospechoso de la muerte de un joven, cuyo cuerpo apareció degollado en la isla de la Gomera, aunque finalmente fue absuelto.  Ahora nuevas pistas llegan a la mesa de Bevilacqua, que se embarca en un viaje a la isla junto a su compañera, donde se verán envueltos en una confusa historia de amores prohibidos y corrupción que pondrá a prueba su capacidad profesional y sus motivaciones más íntimas.","FlixOlé, Movistar Plus+ Ficción Total , Netflix Standard with Ads, Netflix, SkyShowtime",https://www.themoviedb.org/movie/437035-la-niebla-y-la-doncella/watch?locale=ES
La noche del cazador,La noche del cazador,,1955,93,"Crimen, Drama, Suspense",7.858,Charles Laughton,en,United States of America,"Tras realizar un atraco en el que han muerto dos personas, Ben Harper regresa a su casa y esconde el botín confiando el secreto a sus hijos. En la cárcel, antes de ser ejecutado, comparte celda con Harry Powell y en sueños habla del dinero. Tras ser puesto en libertad, Powell, obsesionado por apoderarse del botín, va al pueblo de Harper, enamora a su viuda y se casa con ella.","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/3112-the-night-of-the-hunter/watch?locale=ES
La novia cadáver,La novia cadáver,2,2005,77,"Romance, Fantasía, Animación",7.591,Mike Johnson,en,"United Kingdom, United States of America","Ambientada en un pueblecito europeo en el siglo XIX, esta película de animación fotograma a fotograma cuenta la historia de Victor, un joven que es llevado de repente al infierno, donde se casa con una misteriosa Novia Cadáver, mientras que su verdadera novia, Victoria espera en el mundo de los vivos. A pesar de que la tierra de los muertos resulta ser más colorista que su estricta educación victoriana, Victor aprende que no hay nada en este mundo, ni en el siguiente, que pueda separarle de su único y verdadero amor.",,https://www.themoviedb.org/movie/3933-corpse-bride/watch?locale=ES
La pasión de juana de arco,La pasión de Juana de Arco,111,1928,81,"Drama, Historia",7.974,Carl Theodor Dreyer,fr,France,"Guerra de los Cien Años (siglos XIV y XV). En 1431, Juana de Arco, después de haber conducido a las tropas francesas a la victoria, es arrestada y acusada de brujería. Ella declara haber recibido de Dios la misión de salvar a Francia, pero es procesada y condenada a morir en la hoguera.","Acontra Plus Amazon Channel, Acontra Plus, Filmin",https://www.themoviedb.org/movie/780-la-passion-de-jeanne-d-arc/watch?locale=ES
La quimera del oro,La quimera del oro,60,1925,95,"Aventura, Comedia, Drama",8.0,Charlie Chaplin,en,United States of America,"Aventuras de un solitario buscador de oro en Alaska, donde se topa con varios personajes rudos, y se enamora de la hermosa Georgia, a la que trata de conquistar.","Acontra Plus Amazon Channel, Acontra Plus",https://www.themoviedb.org/movie/962-the-gold-rush/watch?locale=ES
La regla del juego,La regla del juego,112,1939,106,"Drama, Comedia, Romance",7.5,Jean Renoir,fr,France,"1939, París y Sologne. Un aviador, enamorado de una mujer de mundo, no respeta la regla del juego que consiste en salvar las apariencias en una sociedad dividida fundamentalmente en dos clases: los señores y los criados.","Acontra Plus Amazon Channel, Acontra Plus, Filmin",https://www.themoviedb.org/movie/776-la-regle-du-jeu/watch?locale=ES
La reina de áfrica,La reina de África,73,1952,105,"Romance, Aventura, Drama",7.4,John Huston,en,"United Kingdom, United States of America","Durante la Primera Guerra Mundial, un capitán de barco con tendencia a la bebida y una estirada misionera huyen de las tropas alemanas en una ruinosa embarcación y se ven obligados a remontar un peligroso río. Son, a primera vista, dos seres antagónicos, incompatibles, pero la convivencia y, sobre todo, las penalidades que tendrán que afrontar juntos para sobrevivir harán cambiar radicalmente su relación.",,
La reina de katwe,La reina de Katwe,anais,2016,124,Drama,7.232,Mira Nair,en,United States of America,"Protagonizada por David Oyelowo, Lupita Nyong’o y Madina Nalwanga, la película cuenta la historia real de una jovencita vendedora de maíz en las calles de la Uganda rural quien ve su mundo cambiar rápidamente al conocer sobre el juego de ajedrez y, con el apoyo de su comunidad y su familia, obtiene la confianza y determinación necesarias para seguir su sueño de convertirse en una campeona mundial de ajedrez.",Disney Plus,https://www.themoviedb.org/movie/317557-queen-of-katwe/watch?locale=ES
la residencia,Astérix y la residencia de los dioses,,2014,82,"Animación, Comedia, Aventura, Familia",6.789,Louis Clichy,fr,"Belgium, France","Estamos en el año 50 A.C. Toda la Galia está ocupada por los romanos… ¿Toda? ¡No! Una aldea poblada por irreductibles galos resiste todavía y detienen siempre al invasor. Exasperado por la situación, Julio César decide cambiar de táctica: como sus ejércitos han sido incapaces de imponerse por la fuerza, será la misma civilización romana la que se encargará de seducir a los bárbaros galos. Para ello, ordenará construir al lado de la aldea una lujosa residencia para romanos: “la residencia de los Dioses”. ¿Podrán nuestros amigos galos resistirse a la tentación del dinero y el confort romano? ¿La aldea se convertirá en una simple atracción turística? Astérix y Obélix tendrán que esforzarse para frustrar los planes del César.",,https://www.themoviedb.org/movie/170522-asterix-le-domaine-des-dieux/watch?locale=ES
La teniente o’neil,La teniente O'Neil,before30  (1997),1997,125,"Acción, Drama, Bélica",6.5,Ridley Scott,en,"United Kingdom, United States of America","Las presiones de una senadora del Congreso de los EE.UU. convierten a la teniente Jordan O ́Neil en la primera mujer de una unidad de élite del ejército estadounidense. En el fondo, nadie espera que supere un régimen de entrenamiento severísimo que el sesenta por ciento de los reclutas masculinos no consiguen terminar. Sin embargo O ́Neil está dispuesta a demostrar que todo el mundo se equivoca.",,https://www.themoviedb.org/movie/4421-g-i-jane/watch?locale=ES
La tribu,Emmanuelle blanca en la tribu del placer,toti,1975,90,,5.3,Osvaldo Civirani,it,,"Un ingeniero italiano viaja a Santo Domingo para inspeccionar los trabajos de construcción de una represa, dado que su predecesor ha desaparecido sin dejar rastro. En cierto momento, él y su esposa Laura se ven involucrados en los misteriosos ritos vudú que se practican en la isla y que están dirigidos por Balaga, un hechicero opuesto a la construcción de la obra. Hay dos versiones de la película: una normal (esta ficha) y otra con escenas de sexo explícito.",,
La última bandera,La última bandera,toti,2017,124,"Drama, Comedia",6.8,Richard Linklater,en,United States of America,"Tres veteranos de la guerra de Vietnam -Doc (Steve Carell), Sal (Bryan Cranston) y Mueller (Laurence Fishburne)- se reúnen en el año 2003 para enterrar a Larry Jr., el hijo de Doc, que ha muerto en combate en su primer año en la guerra de Iraq.","Amazon Prime Video, Tivify, Amazon Prime Video with Ads",https://www.themoviedb.org/movie/419709-last-flag-flying/watch?locale=ES
La última lección,La última lección,,2018,100,"Suspense, Drama, Misterio",6.0,Sébastien Marnier,fr,France,"Pierre Hoffman se incorpora a una prestigiosa escuela como profesor sustituto y pronto nota, entre algunos de sus alumnos, una hostilidad injustificada y una chispa de violencia en sus ojos. ¿Se debe a la tragedia indescriptible que acaban de vivir? ¿Es porque parecen ser niños extraordinariamente dotados? ¿Es porque han perdido toda esperanza en el futuro? De la curiosidad a la obsesión, Pierre intentará desvelar su secreto.","Amazon Prime Video, Movistar Plus+, Amazon Prime Video with Ads, Filmin, Movistar Plus+ Ficción Total ",https://www.themoviedb.org/movie/475928-l-heure-de-la-sortie/watch?locale=ES
Laberinto de pasiones,Laberinto de pasiones,Pedro Almodóvar,1982,94,"Comedia, Drama, Romance",6.068,Pedro Almodóvar,es,Spain,"Madrid, años 80. Narra la historia de amor entre una joven ninfómana y el hijo de un jeque árabe. Mientras que ella forma parte de un violento grupo musical, a él lo que más le interesa son los cosméticos y los hombres. Música, violencia, persecuciones, pasión, sexo.",,
Ladrón de bicicletas,Ladrón de bicicletas,79,1948,88,Drama,8.171,Vittorio De Sica,it,Italy,"En la Roma de la posguerra, un obrero sin empleo consigue un sencillo trabajo pegando carteles a condición de que posea una bicicleta. Obra maestra del neorrealismo italiano que forma junto con ""Umberto D."" y ""Miracolo a Milano"" la famosa trilogía de De Sica.","Movistar Plus+ Ficción Total , FlixOlé, Movistar Plus+, FlixOlé Amazon Channel",https://www.themoviedb.org/movie/5156-ladri-di-biciclette/watch?locale=ES
Lady from shanghai,La dama de Shanghai,plot twist,1947,87,"Misterio, Crimen, Suspense, Drama",7.4,Orson Welles,en,United States of America,"Michael O'Hara (Orson Welles), un marinero irlandés, entra a trabajar en un yate a las órdenes de un inválido casado con una mujer fatal (Rita Hayworth) y queda atrapado en una maraña de intrigas y asesinatos.","Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/3766-the-lady-from-shanghai/watch?locale=ES
Larga vida y prosperidad,Larga vida y prosperidad,LGTB,2018,93,"Comedia, Drama",6.767,Ben Lewin,en,United States of America,"El mundo es un lugar confuso para Wendy (Dakota Fanning), una joven con autismo, brillante e independiente. Wendy desea dejar su hogar de acogida, donde es supervisada por su cuidadora principal, Scottie (Toni Collette), y vivir su hermana Audrey (Alice Eve) y su nuevo bebé.","Acontra Plus Amazon Channel, Acontra Plus, Filmin",https://www.themoviedb.org/movie/338768-please-stand-by/watch?locale=ES
Las amigas de ágata,Las amigas de Agata,,2016,70,Drama,5.4,Laia Alabart,ca,Spain,"Retrato de un grupo de chicas de 20 años realizado a través de la mirada de Ágata, una chica que, de manera involuntaria, empieza a sentir un cambio en la visión que tiene de sus amigas de infancia Carla, Ari y Mar. (FILMAFFINITy)",Filmin,https://www.themoviedb.org/movie/338553-les-amigues-de-l-agata/watch?locale=ES
Las aventuras de jeremiah johnson,Las aventuras de Jeremiah Johnson,,1972,109,Western,7.3,Sydney Pollack,en,United States of America,"Después de desertar de la guerra entre Estados Unidos y Méjico y hastiado de la civilización, el soldado Jeremías Johnson, decide dejarlo todo y establecerse en las heladas montañas. Allí, con la ayuda de un viejo trampero, tendrá que luchar para sobrevivir. Descubrirá la violencia de los indios que habitan esas tierras y tendrá que defender a su familia. Finalmente su ira caerá sobre la tribu de los Crow.",Tivify,https://www.themoviedb.org/movie/11943-jeremiah-johnson/watch?locale=ES
Las Five,El imperio contraataca,LGTB,1980,124,"Aventura, Acción, Ciencia ficción",8.4,Irvin Kershner,en,United States of America,"Tras un ataque sorpresa de las tropas imperiales a las bases camufladas de la alianza rebelde, Luke Skywalker, en compañía de R2D2, parte hacia el planeta Dagobah en busca de Yoda, el último maestro Jedi, para que le enseñe los secretos de la Fuerza. Mientras, Han Solo, la princesa Leia, Chewbacca, y C3PO esquivan a las fuerzas imperiales y piden refugio al antiguo propietario del Halcón Milenario, Lando Calrissian, en la ciudad minera de Bespin, donde les prepara una trampa urdida por Darth Vader.",Disney Plus,https://www.themoviedb.org/movie/1891-the-empire-strikes-back/watch?locale=ES
Las ocho montañas,Las ocho montañas,andrea compton,2022,147,Drama,7.6,Felix van Groeningen,it,"Belgium, France, Italy, United Kingdom","Pietro es un chico de ciudad, Bruno es el último niño de una localidad de montaña olvidada. Con el paso de los años, Bruno se mantiene fiel a su montaña, mientras que Pietro viene y va. Sus experiencias le harán enfrentarse al amor y a la pérdida, recordándoles sus orígenes y abriendo paso al destino.",Filmin,https://www.themoviedb.org/movie/803700-le-otto-montagne/watch?locale=ES
Las uvas de la ira,Las uvas de la ira,89,1940,129,Drama,7.8,John Ford,en,United States of America,"Tom Joad regresa a su hogar tras cumplir condena en prisión, pero la ilusión de volver a ver a los suyos se transforma en frustración al ver cómo los expulsan de sus tierras. Para escapar al hambre y a la pobreza, la familia no tiene más remedio que emprender un larguísimo viaje lleno de penalidades con la esperanza de encontrar una oportunidad en California, la tierra prometida.",,https://www.themoviedb.org/movie/596-the-grapes-of-wrath/watch?locale=ES
Le week-end,Esencia de mujer,,1992,157,Drama,7.787,Martin Brest,en,United States of America,"Frank Slade es un malhumorado Coronel en la reserva del ejército norteamericano, retirado pues sufre de ceguera. Durante el fin de semana de Acción de Gracias el joven estudiante Charlie Simms, contratado por la familia de Slade, se queda en su casa para servirle de lazarillo y procurar que no beba mucho. Pero Frank tiene otros planes: irse a la gran ciudad de Nueva York... Remake de la película italiana de 1974 ""Profumo di donna"" (Perfume de mujer).",,https://www.themoviedb.org/movie/9475-scent-of-a-woman/watch?locale=ES
Leon el profesional,El profesional (Léon),clasicas que no vi,1994,110,"Crimen, Drama, Acción",8.3,Luc Besson,fr,France,"Stan es un corrupto agente de la DEA cuya codicia le lleva a cometer asesinatos en las calles de Nueva York. El mortal juego del gato y el ratón empieza cuando se cruza en su camino un solitario hombre, llamado León. León es asesino a sueldo, un personaje indestructible e indocumentado, que sólo bebe leche y se ocupa de sus plantas. En medio se encuentra una huerfanita de 12 años, que no puede olvidar al hombre que asesinó a su familia.",,
Leonera,Leonera,carcel,2008,113,Drama,6.239,Pablo Trapero,es,"Argentina, Brazil, South Korea, Spain","Julia (Martina Gusman) es una joven acusada del asesinato de su novio. Aunque las circunstancias del crimen no están claras, acaba ingresando en prisión. Abatida y embarazada deberá adaptarse a su nueva vida en la cárcel, donde nacerá su hijo Tomás.","Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/8900-leonera/watch?locale=ES
Leviatán,Leviathan (El Demonio Del Abismo),,1989,97,"Aventura, Terror, Suspense, Ciencia ficción",5.986,George P. Cosmatos,en,"Italy, United States of America","Bajo las aguas hay una base minera submarina que habitan 8 personas dedicadas a la búsqueda de materiales para extraerlos a la superficie. En una de sus misiones bajo el mar descubren un submarino soviético hundido en el que todo demuestra se estaban realizando experimentos genéticos, como resultado de lo cual habría surgido una monstruosa criatura prácticamente indestructible. Pero los problemas no acaban aquí puesto que aquellos miembros de la base submarina expuestos directamente a los resultados erróneos de este experimento comienzan a sufrir directamente en sus carnes un cambio que los convertiría en medio peces. La lucha por escapar del lugar y destruir a ese monstruo será lo que marque su inmediato destino, porque sino serán devorados por éste.",Filmin,https://www.themoviedb.org/movie/14372-leviathan/watch?locale=ES
Life after beth,Amor zombie,,2014,90,"Romance, Comedia, Terror",5.52,Jeff Baena,en,United States of America,"Cuenta la historia de amor entre un vivo y una no-muerta, Beth, quién tras un trágico accidente volverá a la vida para proseguir con la relación con su novio, si bien evidentemente no le será nada fácil.",,
Light Light Light,Mulán: Enciende el Fuego,LGTB,2026,98,Drama,0.0,Kam Ka-Wai,zh,China,"Exsoldado Mulan regresa a su aldea y descubre que sus padres han sido asesinados y su hermano desaparecido. Al investigar, destapa una red de falsificación de moneda y corrupción oficial, pero es incriminada por el magistrado Ji Shixun, quien en realidad es el verdadero cerebro del complot. Tras sobrevivir a la persecución y perder a su hermano, Mulan regresa al combate, lidera una rebelión popular, derrota a los responsables y abandona su hogar para iniciar un nuevo viaje.",,
Linterieur,Al interior,,2007,83,Terror,6.7,Alexandre Bustillo,fr,France,"Una mujer embarazada y viuda (Alysson Paradis), cuyo novio ha fallecido recientemente, pasa la noche de navidad a solas, completamente afligida por la pérdida del padre de su bebé, cuando una extraña (Béatrice Dalle) se presenta en su casa...","AMC Plus Apple TV Channel , Amazon Prime Video, Amazon Prime Video with Ads, AMC+ Amazon Channel, Planet Horror Amazon Channel",https://www.themoviedb.org/movie/13312-a-l-interieur/watch?locale=ES
Linterna roja,La linterna roja,mamá,1991,125,Drama,7.919,Zhang Yimou,zh,"China, Hong Kong, Taiwan","La película nos muestra la vida de las cuatro esposas de un hombre rico que viven en una gran casa. El hombre es el dueño y señor y las mujeres son de su propiedad y cada día elige a una de ellas para pasar la noche, mediante la colocación de una gran linterna roja en la puerta de la habitación de la mujer escogida. Este rito da lugar al título y provoca las mejores situaciones de la película, al reflejar la tensión y la rivalidad producida en las mujeres cada atardecer, cuando esperan en las puertas de sus habitaciones ver en cúal de ellas lucirá esa noche la lámpara. Esas cuatro paredes, este patio interior, típico de las casas chinas, se convierten en un microuniverso -que no quiere saber que fuera hay otras alternativas- en el que hasta el más pequeño detalle adquiere la mayor relevancia.","Acontra Plus Amazon Channel, Acontra Plus",https://www.themoviedb.org/movie/10404/watch?locale=ES
lo que el pulpo me enseñó,Lo que el pulpo me enseñó,,2020,85,Documental,7.9,Pippa Ehrlich,en,"South Africa, United Kingdom","Después de años de nadar todos los días en el océano helado en la punta de África, Craig Foster conoce a un maestro poco probable: un pulpo joven que muestra una curiosidad notable. Al visitar su guarida y seguir sus movimientos durante meses y meses, finalmente se gana la confianza del animal y desarrollan un vínculo nunca antes visto entre humanos y animales salvajes.","Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/682110-my-octopus-teacher/watch?locale=ES
Lo que el viento se llevó,Lo que el viento se llevó,13,1939,238,"Drama, Bélica, Romance",7.9,Victor Fleming,en,United States of America,"Georgia, 1861. En la elegante mansión sureña de Tara, vive Scarlett O'Hara, la joven más bella, caprichosa y egoísta de la región. Ella suspira por el amor de Ashley, pero él está prometido con su prima, la dulce y bondadosa Melanie. Corren todavía tiempos felices en Tara, pero por poco tiempo, porque la Guerra de Secesión (1861-1865) está a punto de estallar. En la última fiesta, celebrada antes del comienzo de las hostilidades entre el norte y el sur, Scarlett conoce al simpático, cínico y apuesto Rhett Butler, un vividor arrogante y aventurero, que sólo piensa en sí mismo y que no tiene ninguna intención de participar en el conflicto. Lo que él desea es hacerse rico y conquistar el corazón de la hermosa Scarlett.","Movistar Plus+, Filmin, Movistar Plus+ Ficción Total , HBO Max, HBO Max Amazon Channel",https://www.themoviedb.org/movie/770-gone-with-the-wind/watch?locale=ES
Locke,Blindado,,2025,95,"Terror, Suspense",6.191,David Yarovesky,en,"United States of America, Canada, Czech Republic",Un ladrón irrumpe en un todoterreno de lujo y se da cuenta de que ha tropezado con una trampa compleja y mortal tendida por una misteriosa figura.,"Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/1083968-locked/watch?locale=ES
Loreak,Loreak,,2014,99,Drama,6.9,Jose Mari Goenaga,eu,Spain,"La vida de Ane da un giro cuando semanalmente comienza a recibir de forma anónima un ramo de flores en su casa. Por su parte las vidas de Lourdes y Tere también se ven afectadas por unas misteriosas flores. Un desconocido deposita cada semana un ramo en memoria de alguien que fue importante en sus vidas. Esta es la historia de tres mujeres, tres vidas alteradas por la mera presencia de unas flores. Flores que harán brotar en ellas sentimientos que parecían olvidados… Pero al fin y al cabo, no son más que flores.",rtve,https://www.themoviedb.org/movie/260313-loreak/watch?locale=ES
Los amigos de peter,Winnie the Pooh: Los amigos inseparables,mamá,2003,55,"Animación, Familia",6.6,,en,,"Recopilatorio con los siguientes episodios de Las nuevas aventuras de Winnie the Pooh: ""Un animal muy, muy grande"", ""Ningún conejo es una fortaleza"", ""Rayas"" y ""Las zapatillas de Tigger"".",,
Los chicos del maíz,Los chicos del maíz,,1984,93,"Terror, Suspense",5.739,Fritz Kiersch,en,United States of America,"Una joven pareja que viaja por el medio oeste estadounidense se pierde y llega a una pequeña ciudad en la que todos los adultos han sido asesinados por los niños del lugar, a su vez poseídos por una malévola fuerza surgida de los campos de maíz que alcanzan hasta donde llega la vista.",,
