Movie Spanish,Movie Name real,mi_info,Year,Runtime,Genre,Rating,Director,Language,Country,sinopsis,plataformas,links_plataformas
Amigas para siempre,Crossroads: hasta el final,,2002,93,"Drama, Romance, Comedia",5.2,Tamra Davis,en,United States of America,"La historia de tres amigas de la infancia, Lucy, Kit y Mimi, quienes después de ocho años deciden redescubrir su amistad y realizan un viaje con el apuesto y misterioso amigo de Mimi, Ben. Su aventura será una lección que cambiará sus vidas para siempre.","Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/17130-crossroads/watch?locale=ES
Ammonite,Ammonite,LGTB,2020,117,"Romance, Drama",6.91,Francis Lee,en,United Kingdom,"Narra la historia de amor en la Inglaterra de 1840 entre la paleontóloga Mary Anning y Charlotte Murchinson, una mujer casada. En la conservadora sociedad británica del siglo XIX, la aclamada pero desconocida buscadora de fósiles Mary Anning trabaja sola en el sur del país. Cuando toda su fama ya ha pasado, se dedica a vender fósiles a los turistas para salir adelante, hasta que un visitante rico quiere que Mary cuide a su mujer. La relación entre ambas se irá desarrollando y tomará un camino inesperado.",,https://www.themoviedb.org/movie/568467-ammonite/watch?locale=ES
Amor a media noche,Amor a media noche,,1953,95,"Comedia, Música",4.2,Alexander Hall,en,United States of America,"Un celoso compositor pide el divorcio de su esposa al sospechar que ella está siéndole infiel con otro hombre cuando en realidad se trata de un equívoco. Pero ambos siguen enamorados y, aunque ninguno se niega a dar su brazo a torcer, comienzan un juego de celos buscando nuevas parejas.",,
Amor bajo el espino blanco,Amor bajo el espino blanco,mamá,2010,113,"Drama, Romance",7.772,Zhang Yimou,zh,China,"Adaptación de la novela de Aimi Zhu basada en el guión del también director Yin Lichuan. El film, al igual que la novela, se centra en el inocente pero represivo romance entre una chica que vive en un cerrado entorno político-familiar y un joven campesino.",,
Amores perros,Amores perros,,2000,154,"Drama, Suspense",7.6,Alejandro G. Iñárritu,es,Mexico,"Ciudad de México: un fatal accidente automovilístico afecta trágicamente a tres personas. Octavio, un joven adolescente, decide fugarse con Susana, la esposa de su hermano; el Cofí, su perro, se convierte en el medio para conseguir el dinero que necesitan para poder escapar juntos. Al mismo tiempo, Daniel, un hombre de 42 años, deja a su esposa y a sus hijos para irse a vivir con Valeria, una hermosa modelo. El mismo día en que ambos festejan su nueva vida, el destino hace que Valeria sea víctima del trágico accidente.",,https://www.themoviedb.org/movie/55-amores-perros/watch?locale=ES
An education,An Education,,2009,110,"Drama, Romance",6.943,Lone Scherfig,en,United Kingdom,"Jenny, una atractiva y brillante estudiante de dieciséis años que vive en un tranquilo barrio londinense, sólo piensa en estudiar para poder ir a Oxford. Pero un día conoce a Brit, un tipo seductor de treinta y cinco años, que la corteja con cenas elegantes, clubs y viajes con sus divertidos amigos Danny y Helen. Así las cosas, las convicciones de Jenny se tambalean y se verá obligada a elegir entre seguir con Brit y su ajetreada vida o bien ir a la universidad.","Movistar Plus+ Ficción Total , Movistar Plus+",https://www.themoviedb.org/movie/24684-an-education/watch?locale=ES
Animal kingdom,El reino animal,,2023,127,"Aventura, Drama, Ciencia ficción",7.0,Thomas Cailley,fr,"Belgium, France","En un mundo azotado por una ola de mutaciones que transforman gradualmente a algunos humanos en animales, François hace todo lo posible por salvar a su esposa, afectada por esta misteriosa enfermedad. Mientras la sociedad se ve abocada a un nuevo orden, iniciará junto a Émile, su hijo de 16 años, una búsqueda que los cambiará para siempre.","Amazon Prime Video, Amazon Prime Video with Ads",https://www.themoviedb.org/movie/943134-le-regne-animal/watch?locale=ES
Anomalisa,Anomalisa,,2015,91,"Animación, Drama, Romance, Comedia",7.093,Duke Johnson,en,United States of America,"La película tiene por protagonista a un motivador profesional que, cuanto más ayuda a la gente, más monótona y anodina es su vida; todo el mundo le parece y le suena igual. Hasta que la voz de una chica le suena diferente y está dispuesto abandonarlo todo y a todos por alcanzar la felicidad con ella.",,https://www.themoviedb.org/movie/291270-anomalisa/watch?locale=ES
Another earth,Otra Tierra,,2011,92,"Drama, Ciencia ficción",6.724,Mike Cahill,en,United States of America,"Rhoda Williams, una brillante joven que acaba de ser aceptada en un programa de astrofísica del MIT, aspira a explorar el universo. John Burroughs, un compositor que acaba de alcanzar la cima de su carrera, está a punto de ser padre por segunda vez. Rhoda y John no se conocen, pero la víspera del descubrimiento de un Planeta Tierra duplicado tiene lugar una horrible tragedia que entrelaza y altera de modo irreversible sus vidas.",Disney Plus,https://www.themoviedb.org/movie/55420-another-earth/watch?locale=ES
Arde mississippi,Arde Mississippi,,1988,128,"Drama, Crimen, Misterio, Suspense",7.7,Alan Parker,en,United States of America,"En 1964, en un pueblo sureño, donde el racismo está profundamente arraigado y el Ku Klux Klan sigue celebrando sus ritos y reuniones, tres activistas defensores de los derechos humanos desaparecen sin dejar rastro. Dos agentes del FBI, de caracteres muy diferentes, se harán cargo de la investigación. Allí chocarán con un comisario racista.","Amazon Prime Video, Amazon Prime Video with Ads, Filmin",https://www.themoviedb.org/movie/1632-mississippi-burning/watch?locale=ES
Are you the one,非诚勿扰2,reality,2010,123,"Comedia, Romance, Fantasía",6.0,Feng Xiaogang,zh,China,,,
Arlington road,"Arlington Road, temerás a tu vecino",plot twist,1999,117,"Crimen, Drama, Suspense, Misterio",7.035,Mark Pellington,en,United States of America,"Atormentados por la muerte de su esposa, Michael y su hijo Grant entablan una gran amistad con sus nuevos vecinos, los Hunts. Pero, a medida que las dos familias se encuentran más unidas, Michael empieza a sospechar que sus vecinos no son quienes dicen ser, que algo tienen que esconder, e incluso llegará a pensar que ellos tienen algo que ver con la muerte de su esposa...","Amazon Prime Video, Amazon Prime Video with Ads",https://www.themoviedb.org/movie/1073-arlington-road/watch?locale=ES
